album,artist,sentiment
Adore,The Smashing Pumpkins,0.5523160449071949
Same Old Tunes,Millencolin,0.46087401060164046
Songs for a Blue Guitar,Red House Painters,0.44871858795372865
Only Heaven,The Young Gods,0.5116707701195267
Dig Me Out,Sleater-Kinney,0.4589936909049023
Full Circle,Pennywise,0.4536927039073198
The Simpsons Sing the Blues,The Simpsons,0.41674056443610724
Kill My Landlord,The Coup,0.42003498077104184
Stay Sick!,The Cramps,0.5039192586339635
Left Hand Path,Entombed,0.3304387384744202
Everything Is Healing Nicely,Frank Zappa,0.9999999999999991
Trouble at the Henhouse,The Tragically Hip,0.5089076900468162
Taming the Tiger,Joni Mitchell,0.52757877941763
Somewhere Between Heaven and Hell,Social Distortion,0.448870480949081
Resident Alien,Spacehog,0.5344129769977395
No Need to Argue,The Cranberries,0.5064252094136416
Affirmation,Savage Garden,0.471709516384426
Grand Prix,Teenage Fanclub,0.4567211806940559
Myra Lee,Cat Power,0.46102192057727087
Acid Eaters,Ramones,0.5351504675796653
Superjudge,Monster Magnet,0.5410369483963415
Peep This,Jamie Foxx,0.6235341045073789
Guilty 'til Proved Innocent!,The Specials,0.3732405249075406
When Forever Comes Crashing,Converge,0.49462728849018617
Blue Clear Sky,George Strait,0.5386349414300505
The Winding Sheet,Mark Lanegan,0.4828386514517858
Tuesday Night Music Club,Sheryl Crow,0.4845926673453125
Blue Sky on Mars,Matthew Sweet,0.5016370270624795
Manners & Physique,Adam Ant,0.5133056014587727
The Future,Leonard Cohen,0.46184018082701767
Magnified,Failure,0.41372765181376575
Something to Remember Me By,Ben Lee,0.41804764840265374
Aces,Suzy Bogguss,0.529915786359989
Zygote,John Popper,0.5090185171489426
Maladjusted,Morrissey,0.4780739643284517
The Yellow Shark,Frank Zappa,0.9999999999999991
Niandra Lades and Usually Just a T-Shirt,John Frusciante,0.7362370437402135
Vivir,Enrique Iglesias,0.16714989075365072
Spartacus,The Farm,0.8464918916688444
Tomb of the Mutilated,Cannibal Corpse,0.4382479058635814
Ultraphobic,Warrant,0.43232490692727005
Music Has the Right to Children,Boards of Canada,0.44450538492221703
Boogaloo,Nazareth,0.47979836025691525
Somber Eyes to the Sky,Shadows Fall,0.3521311060737248
Bitter,Meshell Ndegeocello,0.5577350243961453
Pies Descalzos,Shakira,0.17935476031350628
Charlie Parker with Strings,Charlie Parker,0.48046279665491515
Pull,Winger,0.48404467491025094
The Science of Things,Bush,0.7555536389999883
The Resurrection,Geto Boys,0.11611375075583402
The Curtain Hits the Cast,Low,0.46729474930511944
Uncle Anesthesia,Screaming Trees,0.4358288826683515
Ocean Drive,Lighthouse Family,0.4824242122058234
Gettin' High on Your Own Supply,Apollo 440,0.33944356550721594
International Pop Overthrow,Material Issue,0.5150806851328401
Celebrity Skin,Hole,0.542374544991301
Sex and Violence,Boogie Down Productions,0.40358448399276514
Duets,Elton John,0.5072653712462246
Spirit,Jewel,0.4774954801879406
Joshua Judges Ruth,Lyle Lovett,0.5535315133797868
The Inevitable,Squirrel Nut Zippers,0.534897740871015
Slinky,Milltown Brothers,0.45652946942359796
The Doctor Came at Dawn,Smog,0.46310331072995653
This Is Our Music,Galaxie 500,0.5302967782163959
American Teenage Rock 'n' Roll Machine,The Donnas,0.5578760423195998
Be Good at It,Neal McCoy,0.6360495696794728
Face the Heat,Scorpions,0.517704137613495
Smitten,Buffalo Tom,0.48483568043376823
Peloton,The Delgados,0.4726177611777927
Polythene,Feeder,0.489025465538597
Sumerian Cry,Tiamat,0.3210091270668858
Welcome to the Beautiful South,The Beautiful South,0.4833912484396781
